frame,y1,x1,y2,x2,object,confidence
360,473,158,552,340,person,0.735556
360,144,73,168,117,backpack,0.680806
360,590,48,639,187,person,0.624257
360,20,21,53,114,person,0.600123
360,173,119,279,179,bicycle,0.563035
360,115,54,170,190,person,0.515699
360,197,33,243,171,person,0.484449
360,0,113,51,316,person,0.440692
360,60,138,139,220,backpack,0.423585
360,448,57,474,82,person,0.370659
360,433,53,569,152,person,0.36641
360,419,101,470,170,bicycle,0.317882
360,194,59,251,175,person,0.258775
370,98,0,450,342,person,0.749858
370,357,56,382,115,person,0.402395
370,8,1,604,343,car,0.379763
370,65,84,107,101,car,0.285501
380,109,0,454,342,person,0.771286
380,358,58,379,116,person,0.531827
380,65,85,107,102,car,0.462496
380,42,3,554,344,car,0.420227
390,98,0,462,342,person,0.898345
390,62,88,103,105,car,0.492031
390,0,1,618,345,car,0.460687
390,350,64,375,120,person,0.445478
400,90,0,457,342,person,0.882775
400,347,63,370,121,person,0.505555
400,0,0,634,344,car,0.438001
410,51,88,153,308,person,0.886912
410,350,22,546,344,person,0.786571
410,163,46,294,265,person,0.631023
410,446,156,639,344,backpack,0.622011
410,250,69,379,281,person,0.55502
410,296,79,363,140,backpack,0.447932
420,51,89,153,308,person,0.879201
420,345,26,561,342,person,0.801898
420,473,156,603,342,backpack,0.57167
420,246,78,367,280,person,0.462365
420,164,59,292,263,person,0.372973
430,154,82,229,171,person,0.892562
430,319,53,386,189,person,0.823274
430,70,97,151,208,person,0.690699
430,0,86,78,237,person,0.679751
430,464,13,523,166,person,0.545106
430,343,65,615,340,person,0.476727
430,13,226,138,342,bench,0.402852
430,218,90,339,342,person,0.370201
440,106,22,444,340,person,0.929484
440,366,44,630,150,car,0.90111
440,158,47,210,192,person,0.8205
440,528,212,599,324,backpack,0.74977
440,6,98,136,343,person,0.741263
440,407,234,476,341,person,0.634059
440,48,20,83,101,person,0.543231
440,177,203,443,344,backpack,0.521491
440,4,149,99,301,backpack,0.516046
440,205,49,242,184,person,0.494209
440,18,38,56,132,person,0.485792
440,450,178,566,342,person,0.469076
450,365,43,631,150,car,0.898571
450,114,25,460,340,person,0.867883
450,8,104,145,340,person,0.832951
450,170,53,232,208,person,0.803607
450,22,41,60,139,person,0.756379
450,52,20,85,109,person,0.727751
450,523,211,600,325,backpack,0.704241
450,180,203,452,343,backpack,0.583784
450,450,181,569,346,person,0.548208
450,165,83,195,135,backpack,0.355593
450,0,148,43,341,person,0.351142
450,6,159,90,304,backpack,0.279672
460,329,43,630,149,car,0.920533
460,374,235,479,344,person,0.816246
460,115,84,394,343,person,0.7948
460,0,37,67,176,person,0.78754
460,445,185,560,343,person,0.76723
460,52,19,86,111,person,0.71359
460,23,100,138,346,person,0.709628
460,513,214,596,326,backpack,0.609934
460,197,54,240,97,person,0.495069
460,265,57,309,104,person,0.491539
460,16,165,88,287,backpack,0.31247
460,14,121,137,326,backpack,0.291008
480,92,16,529,338,umbrella,0.123352
510,226,83,425,343,person,0.648918
510,361,191,561,345,backpack,0.59544
520,217,110,276,214,backpack,0.672779
520,138,90,234,345,person,0.642355
520,239,65,366,344,person,0.623733
520,299,62,562,343,person,0.443778
520,117,117,224,261,backpack,0.388642
520,439,125,482,188,person,0.373529
520,428,187,543,346,handbag,0.341833
530,202,81,317,339,person,0.877247
530,309,81,416,342,person,0.841006
530,0,80,73,339,person,0.728813
530,563,80,616,221,person,0.697615
530,384,65,640,343,person,0.674022
530,204,97,245,256,person,0.537881
530,230,108,299,221,backpack,0.53314
530,178,107,211,216,person,0.522489
530,309,118,378,213,backpack,0.485758
530,157,113,183,209,person,0.397493
530,131,111,167,210,person,0.388844
530,177,134,198,169,handbag,0.346124
530,546,207,638,342,handbag,0.224576
540,473,46,640,339,person,0.882305
540,372,117,426,195,backpack,0.771861
540,360,81,440,315,person,0.76305
540,291,95,372,314,person,0.717283
540,261,104,297,204,person,0.591932
540,209,97,251,267,person,0.575262
540,434,79,548,339,person,0.53306
540,25,58,171,343,person,0.52649
540,289,128,351,230,backpack,0.381122
540,18,117,78,179,backpack,0.36252
550,78,3,536,340,person,0.326946
560,132,47,466,343,person,0.857956
580,122,16,473,342,person,0.931836
580,236,191,296,339,handbag,0.377537
580,241,194,472,342,backpack,0.295469
590,56,34,560,332,person,0.916959
590,318,190,575,345,bench,0.3309
590,317,189,578,341,chair,0.23882
600,55,34,560,331,person,0.90463
600,318,190,575,345,bench,0.344551
600,317,188,578,341,chair,0.222889
610,57,33,561,330,person,0.883159
610,318,189,575,344,bench,0.424121
620,59,32,559,329,person,0.886927
620,317,190,575,344,bench,0.450876
630,58,32,559,329,person,0.886013
630,317,190,575,344,bench,0.440782
640,201,37,442,343,person,0.879458
640,487,4,640,344,person,0.866933
640,1,1,133,340,person,0.84242
640,446,68,535,345,person,0.762435
640,131,114,208,342,person,0.734052
640,201,61,314,291,person,0.6651
650,0,2,153,342,person,0.896599
650,178,35,418,343,person,0.833816
650,131,98,215,341,person,0.694201
650,186,58,268,278,person,0.682601
650,405,71,487,342,person,0.64849
650,444,0,640,343,person,0.609625
650,535,1,640,338,backpack,0.485283
650,353,37,413,201,person,0.336098
660,118,31,398,342,person,0.886731
660,1,0,129,343,person,0.852441
660,348,0,538,346,person,0.797513
660,114,98,172,283,person,0.607975
660,172,57,246,216,person,0.550345
660,422,26,621,319,backpack,0.494136
660,332,42,382,216,person,0.484633
670,153,42,412,343,person,0.805039
670,312,0,463,342,person,0.762451
670,67,1,181,336,person,0.616718
670,220,167,402,325,backpack,0.521724
670,411,54,533,274,backpack,0.518723
670,2,91,90,274,backpack,0.459479
670,183,50,274,198,person,0.440602
670,164,47,206,139,person,0.317248
670,96,232,187,345,backpack,0.306734
670,111,168,258,343,backpack,0.258047
680,107,1,206,340,person,0.884198
680,202,40,287,217,person,0.692863
680,195,9,507,346,person,0.567415
680,53,79,127,231,backpack,0.400962
680,242,154,488,317,backpack,0.398373
680,306,0,497,219,person,0.328398
680,161,226,225,343,handbag,0.194374
690,333,98,546,344,person,0.785729
690,227,102,306,346,person,0.622628
690,288,15,479,329,person,0.581449
690,58,59,210,342,person,0.490563
690,234,104,302,208,person,0.326231
690,48,162,161,343,backpack,0.291073
700,6,24,387,340,person,0.858973
700,0,42,154,336,person,0.631527
700,348,44,465,341,person,0.591164
710,258,5,478,340,person,0.884392
710,0,23,165,340,person,0.857874
710,203,89,288,216,person,0.605269
710,97,153,117,182,cell phone,0.381652
710,0,0,610,344,train,0.36609
720,241,3,496,341,person,0.889503
720,0,6,133,343,person,0.856549
720,175,87,272,225,person,0.669122
720,14,170,49,219,cell phone,0.360508
730,220,1,527,341,person,0.928548
730,136,80,254,246,person,0.832712
730,0,4,74,342,person,0.507526
740,248,0,583,343,person,0.843232
740,100,67,228,260,person,0.794956
790,1,109,216,342,person,0.912796
790,320,2,492,342,person,0.58866
800,301,6,494,342,person,0.940301
800,2,110,219,342,person,0.901904
800,196,277,247,343,chair,0.348058
810,14,2,186,342,person,0.926101
810,386,44,507,323,person,0.837238
810,181,67,239,193,person,0.836195
810,255,29,383,344,person,0.811546
810,178,137,329,340,backpack,0.766468
810,326,24,409,339,person,0.348671
810,462,13,522,284,person,0.342594
820,0,110,202,341,backpack,0.817537
820,0,1,241,338,person,0.760479
820,200,76,245,169,person,0.756426
820,216,30,348,341,person,0.748803
820,166,67,207,138,person,0.67154
820,369,58,428,269,person,0.614204
820,330,46,393,268,person,0.571315
820,439,37,503,274,person,0.506998
820,430,70,477,260,person,0.368581
820,456,181,505,306,person,0.341793
820,216,74,346,297,backpack,0.203748
830,220,36,409,343,person,0.86647
830,58,114,228,341,backpack,0.834935
830,359,0,412,87,person,0.593024
830,62,15,234,345,person,0.541712
830,392,64,453,254,person,0.323461
830,459,17,494,137,person,0.315651
840,477,86,552,252,person,0.777605
840,4,31,443,345,person,0.747772
840,168,21,319,299,person,0.714703
840,352,192,423,279,chair,0.623766
840,241,83,319,188,person,0.555222
840,316,106,359,168,person,0.548704
840,541,131,587,222,person,0.536493
840,437,107,484,222,person,0.527615
840,456,214,485,256,chair,0.516418
840,273,274,335,316,cell phone,0.511748
840,571,202,595,255,bottle,0.488243
840,419,229,461,275,chair,0.481215
840,570,139,620,217,person,0.405868
840,291,91,322,151,person,0.367619
840,307,204,361,246,chair,0.294341
840,443,253,525,343,wine glass,0.262597
840,443,253,524,343,bottle,0.202275
850,447,1,571,70,person,0.443298
850,1,3,548,340,chair,0.157276
860,0,0,538,342,suitcase,0.269216
860,0,0,540,343,chair,0.212702
870,418,2,599,182,person,0.892965
870,98,2,400,342,person,0.877198
870,332,11,400,129,person,0.705251
870,399,157,640,343,dining table,0.620486
870,559,0,640,110,person,0.606121
870,377,19,449,176,person,0.575521
870,1,149,130,342,chair,0.500428
870,300,23,335,132,person,0.495389
870,87,27,158,205,person,0.470769
870,38,2,111,91,person,0.423768
870,463,173,501,208,cup,0.21464
880,422,10,604,198,person,0.883547
880,0,165,132,344,chair,0.84963
880,100,3,378,342,person,0.836446
880,58,0,125,98,person,0.683054
880,94,37,164,215,person,0.660056
880,333,20,396,187,person,0.652765
880,305,37,342,144,person,0.63014
880,378,33,458,184,person,0.593006
880,567,17,640,159,person,0.531997
880,0,0,97,130,person,0.406434
880,401,174,640,341,dining table,0.334066
880,469,189,507,223,bowl,0.301134
880,619,117,640,213,bottle,0.261464
880,0,73,102,273,person,0.157577
890,105,3,377,341,person,0.886198
890,0,163,136,344,chair,0.863777
890,105,37,171,216,person,0.716958
890,340,21,401,192,person,0.708381
890,313,38,350,148,person,0.701367
890,62,1,119,94,person,0.637755
890,430,19,612,202,person,0.555375
890,416,199,640,336,dining table,0.546446
890,577,24,640,158,person,0.449112
890,384,36,467,228,person,0.334919
890,474,193,512,228,cup,0.195021
900,0,165,134,344,chair,0.893864
900,431,29,607,207,person,0.841845
900,560,25,640,189,person,0.677638
900,100,2,373,341,person,0.612117
900,338,28,397,179,person,0.610705
900,382,40,464,199,person,0.608606
900,51,0,117,94,person,0.562269
900,100,38,163,217,person,0.484786
900,415,199,640,330,dining table,0.373089
900,376,164,418,284,chair,0.333146
900,443,235,636,311,bowl,0.321913
900,292,0,360,167,person,0.303589
900,0,11,129,238,person,0.295606
900,470,197,508,232,cup,0.175163
910,177,1,535,341,person,0.916927
920,181,1,538,341,person,0.937137
930,184,1,537,341,person,0.938523
940,180,1,532,342,person,0.926315
950,181,0,531,343,person,0.927614
960,106,9,395,342,person,0.949841
960,0,148,84,343,potted plant,0.459879
970,103,12,392,342,person,0.949157
970,0,152,82,342,potted plant,0.47329
980,96,13,388,342,person,0.934573
980,0,151,82,342,potted plant,0.520585
990,79,12,378,341,person,0.64138
990,0,151,82,342,potted plant,0.435725
1000,120,24,618,340,person,0.963683
1000,343,219,414,346,tie,0.693612
1010,121,24,616,340,person,0.965243
1010,343,219,408,345,tie,0.803906
1020,122,23,617,340,person,0.965595
1020,342,219,409,345,tie,0.801494
1030,122,23,617,340,person,0.964839
1030,343,219,410,345,tie,0.750209
1040,122,23,617,341,person,0.964398
1040,343,218,411,345,tie,0.694381
1050,122,22,617,340,person,0.963806
1050,344,219,412,346,tie,0.659847
1130,116,4,496,343,person,0.933287
1140,129,3,505,343,person,0.930823
1150,136,1,525,343,person,0.915023
1150,240,279,420,345,remote,0.592651
1160,126,1,513,345,person,0.948218
1160,536,22,640,340,person,0.866998
1170,127,0,514,343,person,0.948071
1170,533,30,640,341,person,0.860149
1170,240,259,413,345,remote,0.493207
1180,135,0,520,343,person,0.937156
1180,263,248,424,344,remote,0.600934
1190,136,0,524,345,person,0.923689
1190,271,261,437,345,remote,0.377561
1200,117,1,490,345,person,0.927008
1210,108,0,560,345,person,0.919696
1220,61,0,524,343,person,0.57986
1230,49,0,512,340,person,0.900163
1240,89,0,537,342,person,0.939628
1250,0,0,192,339,person,0.913763
1250,446,86,525,328,person,0.845334
1250,245,149,314,240,backpack,0.749981
1250,181,0,640,318,bus,0.723814
1250,188,106,238,201,backpack,0.703249
1250,312,68,378,310,person,0.686224
1250,241,99,321,320,person,0.662039
1250,222,84,258,181,person,0.560436
1250,186,62,242,319,person,0.452389
1250,348,102,383,176,backpack,0.451184
1260,1,1,196,338,person,0.925012
1260,428,79,527,335,person,0.870333
1260,190,55,247,312,person,0.846013
1260,186,0,640,317,bus,0.765211
1260,245,111,325,322,person,0.686303
1260,248,148,318,241,backpack,0.628115
1260,319,69,384,307,person,0.606553
1260,353,103,387,175,backpack,0.457461
1260,221,71,264,301,person,0.312253
1270,0,1,199,338,person,0.893151
1270,193,53,251,311,person,0.858581
1270,324,69,390,309,person,0.823262
1270,411,76,512,336,person,0.764037
1270,493,71,539,320,person,0.637207
1270,252,99,334,320,person,0.516619
1270,254,147,323,238,backpack,0.499898
1270,228,72,274,303,person,0.446124
1270,218,10,635,318,bus,0.40862
1280,429,33,594,343,person,0.871408
1280,1,155,41,274,person,0.807924
1280,31,145,70,278,person,0.772978
1280,312,155,365,295,person,0.707223
1280,108,76,337,346,person,0.691886
1280,384,163,419,289,person,0.617012
1280,423,130,475,302,handbag,0.464258
1280,64,140,137,298,backpack,0.414185
1290,397,35,591,342,person,0.932022
1290,116,81,364,346,person,0.738519
1290,252,160,313,322,person,0.680278
1290,4,157,47,274,person,0.651725
1290,36,151,74,280,person,0.623928
1290,388,163,416,258,person,0.579998
1290,397,132,455,319,handbag,0.497107
1290,328,159,374,292,person,0.383129
1290,68,155,143,308,backpack,0.367708
1300,389,27,609,343,person,0.920626
1300,110,88,290,346,person,0.75506
1300,54,153,140,312,backpack,0.564325
1300,331,160,378,287,person,0.529788
1300,13,162,50,278,person,0.512935
1300,279,155,349,331,person,0.487488
1300,41,152,83,276,person,0.472298
1300,390,126,460,337,handbag,0.31001
1310,401,17,637,345,person,0.860939
1310,279,150,370,345,person,0.796372
1310,84,90,334,343,person,0.788936
1310,31,163,117,337,backpack,0.508394
1310,3,167,45,290,person,0.416751
1310,24,163,70,285,person,0.402065
1310,388,171,421,275,person,0.30961
1320,385,27,638,343,person,0.926529
1320,294,146,383,346,person,0.83036
1320,52,105,293,342,person,0.572516
1320,415,130,492,341,handbag,0.522871
1320,449,126,640,336,backpack,0.489971
1320,1,178,81,340,person,0.318855
1320,256,171,304,337,person,0.303058
1330,263,47,348,337,person,0.891411
1330,0,2,159,343,person,0.823323
1330,457,61,544,335,person,0.783039
1330,161,0,635,272,bus,0.707422
1330,527,115,570,207,backpack,0.669093
1330,348,32,454,346,person,0.64162
1330,433,69,485,316,person,0.571342
1330,315,24,481,342,bus,0.45197
1330,304,43,384,337,person,0.344129
1330,388,44,477,335,person,0.300432
1340,231,44,374,343,person,0.821029
1340,212,0,637,246,bus,0.782396
1340,529,78,640,343,person,0.759945
1340,349,29,471,344,person,0.593981
1340,1,1,207,343,person,0.562401
1340,476,63,572,328,person,0.489515
1350,349,32,438,342,person,0.791768
1350,0,0,188,344,person,0.644975
1350,447,78,512,177,person,0.643482
1350,285,39,358,341,person,0.640536
1350,166,79,212,222,truck,0.473652
1350,549,58,640,339,person,0.454557
1350,494,62,636,344,person,0.445495
1350,400,44,472,330,person,0.366742
1350,443,155,516,263,backpack,0.357886
1350,600,120,640,211,backpack,0.343016
1360,246,185,288,289,person,0.848226
1360,33,124,244,343,person,0.811185
1360,258,7,558,344,person,0.540007
1360,307,163,558,342,backpack,0.537446
1360,546,105,640,344,person,0.186181
1370,41,129,268,342,person,0.889427
1370,264,9,568,342,person,0.88878
1370,243,181,298,294,person,0.780914
1370,318,167,563,340,backpack,0.493997
1370,308,160,374,343,handbag,0.326584
1380,296,21,596,342,person,0.885531
1380,35,133,268,343,person,0.8483
1380,264,176,311,319,person,0.765153
1380,596,199,632,297,person,0.372484
1380,334,172,411,343,handbag,0.16846
1390,31,135,264,343,person,0.901248
1390,265,20,569,343,person,0.806565
1390,0,108,79,344,person,0.803117
1390,546,172,593,302,person,0.577412
1390,321,167,566,341,backpack,0.440878
1390,287,163,381,345,backpack,0.168175
1390,301,166,381,345,handbag,0.165344
1390,121,264,262,345,handbag,0.121684
1400,29,136,241,344,person,0.893751
1400,250,15,549,341,person,0.710976
1400,590,171,637,324,person,0.650663
1400,292,165,366,343,handbag,0.438748
1400,311,169,545,341,backpack,0.421628
1400,284,166,359,344,handbag,0.279891
1400,86,257,232,346,backpack,0.233471
1410,46,142,249,342,person,0.92271
1410,189,113,285,307,person,0.638013
1410,257,18,559,344,person,0.538682
1410,312,171,553,341,backpack,0.538237
1410,515,175,565,305,person,0.5305
1410,132,262,243,346,backpack,0.261496
1420,52,144,249,340,person,0.918894
1420,271,21,569,342,person,0.890686
1420,235,106,341,320,person,0.747335
1420,551,171,622,329,person,0.732266
1420,330,176,556,341,backpack,0.486401
1420,3,204,134,344,backpack,0.29
1420,138,262,252,346,backpack,0.229959
1440,7,3,235,338,person,0.34547
1450,4,2,181,344,person,0.943968
1450,327,36,534,343,person,0.933516
1460,26,4,201,343,person,0.663688
1460,298,39,516,342,person,0.606889
1460,0,200,42,254,laptop,0.527174
1460,492,220,639,346,couch,0.457863
1470,299,35,547,342,person,0.944317
1470,55,3,228,343,person,0.933152
1470,0,208,79,269,laptop,0.830829
1480,60,12,237,344,person,0.923783
1480,323,35,578,343,person,0.91423
1480,19,215,78,263,laptop,0.563596
1490,0,0,637,339,person,0.429788
1490,231,176,320,294,person,0.30588
1500,268,100,387,273,person,0.582484
1500,0,0,633,346,person,0.424596
1500,184,157,273,277,person,0.394553
1510,325,124,457,313,person,0.41466
1510,246,183,330,305,person,0.405904
1510,0,0,640,342,person,0.29003
1520,57,22,285,343,person,0.683336
1520,250,25,446,343,person,0.62057
1520,533,253,639,345,couch,0.430803
1520,1,193,77,262,laptop,0.425185
1530,195,28,425,344,person,0.878679
1530,0,227,80,341,chair,0.666476
1530,62,28,288,343,person,0.574916
1540,220,38,425,344,person,0.885822
1540,75,31,288,341,person,0.879318
1540,0,225,106,343,chair,0.852675
1540,562,96,640,216,person,0.277441
1550,255,36,430,341,person,0.842785
1550,71,31,298,343,person,0.777412
1550,0,219,110,345,chair,0.75619
1550,575,94,640,218,person,0.572006
1560,66,30,298,343,person,0.824071
1560,256,30,462,342,person,0.784263
1560,0,214,92,344,chair,0.746113
1570,55,34,249,341,person,0.933219
1570,231,20,433,343,person,0.813844
1570,0,214,69,343,chair,0.551133
1570,293,83,355,138,cell phone,0.539637
1600,395,4,640,342,person,0.927369
1600,323,187,405,286,person,0.78689
1600,143,61,429,336,person,0.755306
1600,410,192,474,289,person,0.75085
1600,154,188,228,270,person,0.631072
1600,0,85,51,292,person,0.395782
1600,441,2,640,128,tv,0.319276
1610,326,2,638,341,person,0.942031
1610,176,74,403,341,person,0.61971
1610,134,196,205,279,person,0.569884
1620,5,3,297,342,person,0.937559
1620,452,70,553,184,person,0.768429
1620,303,24,518,342,person,0.762768
1620,594,155,640,197,backpack,0.378613
1630,4,3,298,342,person,0.939018
1630,291,29,516,341,person,0.8744
1630,453,74,553,187,person,0.814239
1630,594,159,640,199,backpack,0.377651
1640,3,3,290,342,person,0.945389
1640,294,30,529,342,person,0.863609
1640,453,77,552,191,person,0.797219
1640,592,158,640,200,backpack,0.400322
1650,11,13,470,342,person,0.948157
1660,101,217,302,345,person,0.728889
1670,3,3,298,340,person,0.934492
1670,309,55,540,343,person,0.6992
1670,318,111,380,221,person,0.48332
1670,560,161,640,204,backpack,0.32478
1680,0,1,326,342,person,0.930785
1680,314,112,396,225,person,0.84198
1680,393,123,470,227,person,0.53266
1680,429,90,521,198,person,0.40784
1680,558,167,639,212,backpack,0.136955
1710,537,46,640,341,person,0.849297
1710,247,29,563,341,person,0.650977
1710,452,33,564,342,person,0.369136
1720,1,1,300,342,person,0.9235
1720,242,47,339,333,person,0.537573
1720,328,61,504,344,person,0.535244
1730,400,42,617,343,person,0.921715
1730,258,49,350,321,person,0.91209
1730,130,184,242,313,person,0.902602
1730,143,283,197,312,skateboard,0.385288
1740,364,39,639,342,person,0.93375
1740,130,182,243,313,person,0.900767
1740,258,49,343,320,person,0.896726
1740,143,283,199,313,skateboard,0.367457
1750,217,11,519,341,person,0.94612
1750,509,0,638,340,person,0.902588
1760,162,6,518,342,person,0.930629
1760,515,0,636,342,person,0.916313
1760,462,139,543,312,person,0.854801
1770,335,1,532,147,person,0.525994
1770,166,206,485,282,surfboard,0.489974
1780,151,183,504,268,surfboard,0.805217
1780,339,1,541,146,person,0.508595
1790,5,10,638,337,cake,0.459492
1800,0,7,71,71,bird,0.64899
1800,209,189,280,262,bird,0.62147
1800,150,57,254,129,bird,0.53003
1800,295,107,337,162,bird,0.485357
1800,325,205,358,286,bird,0.33976
1800,20,90,147,151,bird,0.323195
1800,472,309,532,346,bird,0.304332
1830,24,15,351,342,person,0.952333
1830,349,21,627,343,person,0.926962
1830,28,128,57,210,person,0.837436
1830,296,58,439,337,person,0.698846
1830,519,78,569,195,person,0.537997
1830,233,91,268,164,person,0.521855
1830,101,135,119,166,person,0.344499
1840,25,16,355,342,person,0.955646
1840,352,21,626,342,person,0.933185
1840,34,129,61,210,person,0.820636
1840,299,61,436,332,person,0.681186
1840,519,78,572,197,person,0.620668
1840,231,92,269,162,person,0.563076
1850,25,16,355,343,person,0.951476
1850,355,22,626,342,person,0.929836
1850,44,127,69,206,person,0.698967
1850,299,64,431,334,person,0.63094
1850,519,77,572,196,person,0.622734
1850,236,91,274,163,person,0.609127
1860,24,16,353,342,person,0.952222
